period,hs10_code,scope,unit,value_cad,quantity,source_url
202501,2404120000,extended_liquid_proxy_not_exclusive,KGM,45462632,731648,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202502,2404120000,extended_liquid_proxy_not_exclusive,KGM,12574354,199894,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202503,2404120000,extended_liquid_proxy_not_exclusive,KGM,22754161,360605,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202504,2404120000,extended_liquid_proxy_not_exclusive,KGM,27423355,444032,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202505,2404120000,extended_liquid_proxy_not_exclusive,KGM,28139882,461665,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202506,2404120000,extended_liquid_proxy_not_exclusive,KGM,20871609,389002,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202507,2404120000,extended_liquid_proxy_not_exclusive,KGM,21706774,413039,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202508,2404120000,extended_liquid_proxy_not_exclusive,KGM,24154501,455416,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202509,2404120000,extended_liquid_proxy_not_exclusive,KGM,24652222,520044,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202510,2404120000,extended_liquid_proxy_not_exclusive,KGM,28097922,684976,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202511,2404120000,extended_liquid_proxy_not_exclusive,KGM,27633842,519730,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202512,2404120000,extended_liquid_proxy_not_exclusive,KGM,30645567,571341,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202501,2404190000,extended_liquid_proxy_not_exclusive,KGM,83846,800,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202502,2404190000,extended_liquid_proxy_not_exclusive,KGM,39219,480,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202503,2404190000,extended_liquid_proxy_not_exclusive,KGM,81028,595,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202504,2404190000,extended_liquid_proxy_not_exclusive,KGM,24570,343,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202505,2404190000,extended_liquid_proxy_not_exclusive,KGM,33322,851,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202506,2404190000,extended_liquid_proxy_not_exclusive,KGM,6719,150,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202507,2404190000,extended_liquid_proxy_not_exclusive,KGM,9244,318,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202508,2404190000,extended_liquid_proxy_not_exclusive,KGM,30173,599,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202509,2404190000,extended_liquid_proxy_not_exclusive,KGM,21730,674,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202510,2404190000,extended_liquid_proxy_not_exclusive,KGM,9426,313,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202511,2404190000,extended_liquid_proxy_not_exclusive,KGM,22383,693,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202512,2404190000,extended_liquid_proxy_not_exclusive,KGM,5077,136,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202501,8543400010,core_device,NMB,1041380,92134,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202502,8543400010,core_device,NMB,97475,16167,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202503,8543400010,core_device,NMB,1156113,133404,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202504,8543400010,core_device,NMB,282679,39319,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202505,8543400010,core_device,NMB,290029,35246,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202506,8543400010,core_device,NMB,724976,127759,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202507,8543400010,core_device,NMB,213557,42877,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202508,8543400010,core_device,NMB,169790,42740,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
202509,8543400010,core_device,NMB,400037,62653,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
