period,hs10_code,scope,family,country_code,country_of_origin,unit,value_cad,quantity,source_url
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,CN,China,KGM,310954680,5727468,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,US,United States of America,KGM,2517226,15410,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,HK,Hong Kong,KGM,511068,6666,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,FR,France,KGM,76536,1199,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,PL,Poland,KGM,35241,285,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,GB,United Kingdom,KGM,13752,260,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,DE,Germany,KGM,2770,30,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,JP,Japan,KGM,2422,25,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,MY,Malaysia,KGM,1331,9,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,SE,Sweden,KGM,812,21,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,TW,Taiwan,KGM,732,16,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,AT,Austria,KGM,154,3,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,CA,Canada,KGM,82,0,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,CH,Switzerland,KGM,12,0,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
2025,2404120000,extended_liquid_proxy_not_exclusive,nicotine_inhalation_product,IN,India,KGM,3,0,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2025.zip
