period,scope,products,flow,rank,partner,partner_label,partner_basis,value_eur,share_of_country_partner_rows_pct,method_note,source_url
2025,narrow_patent_scope_proxy,85434000+24041200,import,1,CN,China,extra-EU country of origin,5879812.0,40.871736,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,2,HR,Croatia,intra-EU country of consignment,3917406.0,27.230664,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,3,PL,Poland,intra-EU country of consignment,2446753.0,17.007864,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,872221.0,6.062981,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,5,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,370124.0,2.572805,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,6,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,316623.0,2.200909,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,7,SE,Sweden,intra-EU country of consignment,258624.0,1.797747,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,8,HK,Hong Kong,extra-EU country of origin,115759.0,0.804664,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,9,GR,Greece,intra-EU country of consignment,63828.0,0.443681,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,10,GB,United Kingdom,extra-EU country of origin,42893.0,0.298158,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,1,NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),country of destination,408967.0,45.190573,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,2,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),country of destination,284685.0,31.457497,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,3,MX,Mexico,country of destination,56756.0,6.271499,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=DK&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
