period,reporter,reporter_label,partner,partner_label,partner_basis,cn8_code,product_label,value_eur,source_url
2025,AT,Austria,CN,China,extra-EU country of origin,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",39455439,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,LV,Latvia,intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",10416108,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,HR,Croatia,intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",2765135,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",2411795,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,GB,United Kingdom,extra-EU country of origin,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",248996,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,KR,"Korea, Republic of (South Korea)",extra-EU country of origin,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",111185,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,CZ,Czechia,intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",38850,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,PL,Poland,intra-EU country of consignment,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",37275,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),extra-EU country of origin,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",22962,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,AT,Austria,LA,Lao People’s Democratic Republic (Laos),extra-EU country of origin,24041200,"Products containing nicotine, intended for inhalation without combustion (excl. containing tobacco or reconstituted tobacco)",12354,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=EU27_2020&reporter=AT&reporter=BE&reporter=DE&reporter=DK&reporter=ES&reporter=FI&reporter=FR&reporter=IT&reporter=LU&reporter=NL&reporter=PL&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&indicators=VALUE_IN_EUROS&time=2025&lang=en
