year,month,cn8,scope,import_eur,export_eur,border_net_import_eur,import_kg,export_kg,import_source_rows,export_source_rows
2025,1,85434000,core_devices,16574562,6603918,9970644,187385,57053,13,43
2025,2,85434000,core_devices,13167377,4285751,8881626,147968,44770,16,37
2025,3,85434000,core_devices,12638820,5045909,7592911,149274,73980,12,37
2025,4,85434000,core_devices,12242717,6185667,6057050,154173,84406,13,42
2025,5,85434000,core_devices,14229065,5625913,8603152,167348,84664,13,39
2025,6,85434000,core_devices,12514413,3951529,8562884,146050,72564,13,38
2025,7,85434000,core_devices,15528322,5337509,10190813,178798,80803,15,42
2025,8,85434000,core_devices,18493395,10493168,8000227,170588,94298,14,38
2025,9,85434000,core_devices,14535848,10437516,4098332,131341,105485,13,42
2025,10,85434000,core_devices,21492735,16241908,5250827,181536,139700,15,41
2025,11,85434000,core_devices,21690514,17468606,4221908,182580,136147,14,40
2025,12,85434000,core_devices,18457182,9706193,8750989,178394,114634,19,39
2025,1,24041200,broad_nicotine_inhalation_proxy,8331836,1341395,6990441,282694,90773,16,30
2025,2,24041200,broad_nicotine_inhalation_proxy,6790477,1286755,5503722,183307,79991,15,33
2025,3,24041200,broad_nicotine_inhalation_proxy,10645052,1498800,9146252,270626,98075,16,34
2025,4,24041200,broad_nicotine_inhalation_proxy,9843557,1636997,8206560,311351,49514,16,36
2025,5,24041200,broad_nicotine_inhalation_proxy,11969943,1318644,10651299,318555,53395,15,37
2025,6,24041200,broad_nicotine_inhalation_proxy,15264317,1273250,13991067,337988,53513,15,31
2025,7,24041200,broad_nicotine_inhalation_proxy,11764767,1463476,10301291,349385,52854,15,35
2025,8,24041200,broad_nicotine_inhalation_proxy,9263400,1193202,8070198,237993,48026,15,38
2025,9,24041200,broad_nicotine_inhalation_proxy,11377005,1940771,9436234,316097,69977,14,36
2025,10,24041200,broad_nicotine_inhalation_proxy,21634073,786008,20848065,435183,34721,17,35
2025,11,24041200,broad_nicotine_inhalation_proxy,23139965,1667940,21472025,415814,45180,15,37
2025,12,24041200,broad_nicotine_inhalation_proxy,15635493,818701,14816792,324806,44675,17,32
2025,1,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,0,0,0,0,0,0
2025,2,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,0,0,0,0,0,0
2025,3,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,0,0,0,0,0,0
2025,4,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,6921,76709,-69788,113,1671,1,2
2025,5,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,28692,-28692,0,660,0,2
2025,6,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,18800,26728,-7928,330,589,2,2
2025,7,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,24971,-24971,0,910,0,1
2025,8,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,73,15073,-15000,0,532,1,1
2025,9,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,19582,-19582,0,363,0,1
2025,10,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,828,-828,0,15,0,1
2025,11,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,19591,-19591,0,462,0,1
2025,12,24041910,broad_nicotine_free_tobacco_substitute_inhalation_proxy,0,0,0,0,0,0,0
2025,1,24041990,broad_other_substitute_inhalation_proxy,1287462,909727,377735,28837,17104,14,24
2025,2,24041990,broad_other_substitute_inhalation_proxy,1515365,615590,899775,26134,9293,14,24
2025,3,24041990,broad_other_substitute_inhalation_proxy,1602304,1227804,374500,31237,21712,13,29
2025,4,24041990,broad_other_substitute_inhalation_proxy,1699384,1050100,649284,34021,15676,10,28
2025,5,24041990,broad_other_substitute_inhalation_proxy,1222571,706561,516010,25397,12071,11,28
2025,6,24041990,broad_other_substitute_inhalation_proxy,1174199,648804,525395,23060,11434,13,31
2025,7,24041990,broad_other_substitute_inhalation_proxy,1586797,1026036,560761,30802,16566,13,29
2025,8,24041990,broad_other_substitute_inhalation_proxy,1540944,780948,759996,36139,12583,13,30
2025,9,24041990,broad_other_substitute_inhalation_proxy,1248838,816682,432156,27860,12763,12,32
2025,10,24041990,broad_other_substitute_inhalation_proxy,840179,536042,304137,26055,9399,12,31
2025,11,24041990,broad_other_substitute_inhalation_proxy,1635855,808478,827377,29716,12620,11,31
2025,12,24041990,broad_other_substitute_inhalation_proxy,1335454,914912,420542,24038,12395,14,26
