period,hs6_code,country_of_origin,pixan_scope,export_weight_kg,export_value_thousand_usd,import_weight_kg,import_value_thousand_usd,import_value_share_of_annual_code_pct,source_url
2025,240412,China,broad_nicotine_inhalation_proxy,408,2,1927659,117608,98.727377,https://tradedata.go.kr/cts/index_eng.do
2025,240412,United Kingdom,broad_nicotine_inhalation_proxy,507,75,12363,732,0.614486,https://tradedata.go.kr/cts/index_eng.do
2025,240412,United States,broad_nicotine_inhalation_proxy,0,0,3933,546,0.458346,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Malaysia,broad_nicotine_inhalation_proxy,0,0,3023,202,0.169571,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Indonesia,broad_nicotine_inhalation_proxy,0,0,504,34,0.028542,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Canada,broad_nicotine_inhalation_proxy,0,0,1,0,0.0,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Germany,broad_nicotine_inhalation_proxy,0,0,0,0,0.0,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Greece,broad_nicotine_inhalation_proxy,0,0,0,0,0.0,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Japan,broad_nicotine_inhalation_proxy,0,0,0,0,0.0,https://tradedata.go.kr/cts/index_eng.do
2025,240412,Switzerland,broad_nicotine_inhalation_proxy,0,0,13,0,0.0,https://tradedata.go.kr/cts/index_eng.do
2025,240419,China,broad_other_inhalation_proxy,20,6,158857,4323,93.835468,https://tradedata.go.kr/cts/index_eng.do
2025,240419,United States,broad_other_inhalation_proxy,0,0,1183,133,2.886911,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Malaysia,broad_other_inhalation_proxy,0,0,2105,112,2.431083,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Japan,broad_other_inhalation_proxy,300057,11552,609,11,0.238767,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Czech Republic,broad_other_inhalation_proxy,0,0,150,7,0.151943,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Viet nam,broad_other_inhalation_proxy,0,0,2000,5,0.10853,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Indonesia,broad_other_inhalation_proxy,0,0,99,4,0.086824,https://tradedata.go.kr/cts/index_eng.do
2025,240419,United Kingdom,broad_other_inhalation_proxy,3,0,40,4,0.086824,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Australia,broad_other_inhalation_proxy,0,0,29,3,0.065118,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Netherlands,broad_other_inhalation_proxy,0,0,24,2,0.043412,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Singapore,broad_other_inhalation_proxy,0,0,48,1,0.021706,https://tradedata.go.kr/cts/index_eng.do
2025,240419,Sweden,broad_other_inhalation_proxy,0,0,10,1,0.021706,https://tradedata.go.kr/cts/index_eng.do
