month,hs6_code,pixan_scope,export_weight_kg,export_value_thousand_usd,import_weight_kg,import_value_thousand_usd,source_url
2025.01,240412,broad_nicotine_inhalation_proxy,0,0,72987,5145,https://tradedata.go.kr/cts/index_eng.do
2025.01,240419,broad_other_inhalation_proxy,1233,302,13599,379,https://tradedata.go.kr/cts/index_eng.do
2025.01,854340,core_devices,9,2,144466,14778,https://tradedata.go.kr/cts/index_eng.do
2025.02,240412,broad_nicotine_inhalation_proxy,1,0,69391,4795,https://tradedata.go.kr/cts/index_eng.do
2025.02,240419,broad_other_inhalation_proxy,5323,418,11358,300,https://tradedata.go.kr/cts/index_eng.do
2025.02,854340,core_devices,247,72,42193,5639,https://tradedata.go.kr/cts/index_eng.do
2025.03,240412,broad_nicotine_inhalation_proxy,7,3,100448,7358,https://tradedata.go.kr/cts/index_eng.do
2025.03,240419,broad_other_inhalation_proxy,28533,1042,9380,262,https://tradedata.go.kr/cts/index_eng.do
2025.03,854340,core_devices,143,16,83122,9670,https://tradedata.go.kr/cts/index_eng.do
2025.04,240412,broad_nicotine_inhalation_proxy,0,0,134924,8375,https://tradedata.go.kr/cts/index_eng.do
2025.04,240419,broad_other_inhalation_proxy,44392,1512,14726,396,https://tradedata.go.kr/cts/index_eng.do
2025.04,854340,core_devices,1455,279,90402,11684,https://tradedata.go.kr/cts/index_eng.do
2025.05,240412,broad_nicotine_inhalation_proxy,250,36,120161,8049,https://tradedata.go.kr/cts/index_eng.do
2025.05,240419,broad_other_inhalation_proxy,16377,679,7899,211,https://tradedata.go.kr/cts/index_eng.do
2025.05,854340,core_devices,39,19,105742,12409,https://tradedata.go.kr/cts/index_eng.do
2025.06,240412,broad_nicotine_inhalation_proxy,0,0,115934,7726,https://tradedata.go.kr/cts/index_eng.do
2025.06,240419,broad_other_inhalation_proxy,29633,1327,10988,313,https://tradedata.go.kr/cts/index_eng.do
2025.06,854340,core_devices,1201,151,86702,10832,https://tradedata.go.kr/cts/index_eng.do
2025.07,240412,broad_nicotine_inhalation_proxy,0,0,124323,8344,https://tradedata.go.kr/cts/index_eng.do
2025.07,240419,broad_other_inhalation_proxy,1183,271,11688,341,https://tradedata.go.kr/cts/index_eng.do
2025.07,854340,core_devices,11,2,93135,12168,https://tradedata.go.kr/cts/index_eng.do
2025.08,240412,broad_nicotine_inhalation_proxy,0,0,144370,8572,https://tradedata.go.kr/cts/index_eng.do
2025.08,240419,broad_other_inhalation_proxy,37471,1347,10586,253,https://tradedata.go.kr/cts/index_eng.do
2025.08,854340,core_devices,5503,808,104599,12798,https://tradedata.go.kr/cts/index_eng.do
2025.09,240412,broad_nicotine_inhalation_proxy,582,37,214428,14054,https://tradedata.go.kr/cts/index_eng.do
2025.09,240419,broad_other_inhalation_proxy,56874,1878,13150,361,https://tradedata.go.kr/cts/index_eng.do
2025.09,854340,core_devices,13957,1500,122347,15413,https://tradedata.go.kr/cts/index_eng.do
2025.10,240412,broad_nicotine_inhalation_proxy,25,1,234489,14346,https://tradedata.go.kr/cts/index_eng.do
2025.10,240419,broad_other_inhalation_proxy,15409,646,12005,334,https://tradedata.go.kr/cts/index_eng.do
2025.10,854340,core_devices,8632,1077,116541,13678,https://tradedata.go.kr/cts/index_eng.do
2025.11,240412,broad_nicotine_inhalation_proxy,0,0,291661,15538,https://tradedata.go.kr/cts/index_eng.do
2025.11,240419,broad_other_inhalation_proxy,37634,1300,19575,560,https://tradedata.go.kr/cts/index_eng.do
2025.11,854340,core_devices,8535,1049,157843,14606,https://tradedata.go.kr/cts/index_eng.do
2025.12,240412,broad_nicotine_inhalation_proxy,50,0,324380,16823,https://tradedata.go.kr/cts/index_eng.do
2025.12,240419,broad_other_inhalation_proxy,34705,1218,30209,897,https://tradedata.go.kr/cts/index_eng.do
2025.12,854340,core_devices,7535,842,135764,14858,https://tradedata.go.kr/cts/index_eng.do
