year,product,scope,flow,partner,partner_label,partner_role,value_eur,rank,share_of_country_partner_rows_pct,source_url,boundary
2025,85434000,core_devices,import,CN,China,extra-EU country of origin,20490234,1,57.939398,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,import,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,8310753,2,23.499977,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,import,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),extra-EU country of origin,2175136,3,6.150543,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,import,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU country of consignment,1580840,4,4.470077,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,import,PL,Poland,intra-EU country of consignment,1418003,5,4.009629,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,export,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",intra-EU destination member state,12945163,1,40.283716,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,export,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU destination member state,7751846,2,24.122768,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,export,IE,Ireland (Eire),intra-EU destination member state,3238522,3,10.077872,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,export,BE,Belgium (incl. Luxembourg 'LU' -> 1998),intra-EU destination member state,2420728,4,7.533001,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
2025,85434000,core_devices,export,ES,Spain (incl. Canary Islands 'XB' from 1997),intra-EU destination member state,1183034,5,3.681453,https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=NL&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en,partner share excludes Eurostat aggregate partner codes; role depends on intra/extra-EU flow convention
