YearMonth/AnnéeMois,HS6,Country/Pays,Province,State/État,Value/Valeur,Quantity/Quantité,Unit of Measure/Unité de Mesure
202501,240412,CN,AB,,163541,2246,KGM
202501,240412,CN,BC,,5935930,109495,KGM
202501,240412,CN,ON,,38794534,613514,KGM
202501,240412,CN,QC,,268248,1307,KGM
202501,240412,CN,SK,,225849,3920,KGM
202501,240412,DE,ON,,37,1,KGM
202501,240412,DE,QC,,606,5,KGM
202501,240412,FR,BC,,137,1,KGM
202501,240412,FR,ON,,41,1,KGM
202501,240412,FR,QC,,15,1,KGM
202501,240412,GB,BC,,16,1,KGM
202501,240412,GB,QC,,18,1,KGM
202501,240412,HK,BC,,201,1,KGM
202501,240412,HK,ON,,17600,637,KGM
202501,240412,HK,QC,,71,1,KGM
202501,240412,JP,QC,,20,0,KGM
202501,240412,TW,BC,,94,2,KGM
202501,240412,TW,QC,,21,1,KGM
202501,240412,US,BC,US,2611,22,KGM
202501,240412,US,ON,CA,9080,252,KGM
202501,240412,US,ON,DC,37005,81,KGM
202501,240412,US,ON,NY,4931,136,KGM
202501,240412,US,ON,US,364,3,KGM
202501,240412,US,QC,US,1662,19,KGM
202501,240419,CN,BC,,288,2,KGM
202501,240419,CN,ON,,79486,634,KGM
202501,240419,CN,QC,,3926,162,KGM
202501,240419,FR,QC,,68,1,KGM
202501,240419,US,ON,MI,78,1,KGM
202501,854340,CN,AB,,111044,14458,NMB
202501,854340,CN,BC,,2328493,521274,NMB
202501,854340,CN,MB,,150366,2250,NMB
202501,854340,CN,ON,,7663357,1217835,NMB
202501,854340,CN,QC,,540683,104807,NMB
202501,854340,DE,BC,,44099,109,NMB
202501,854340,DE,QC,,195,7,NMB
202501,854340,HK,ON,,20635,2170,NMB
202501,854340,IE,BC,,15,6,NMB
202501,854340,IE,ON,,177,108,NMB
202501,854340,IN,ON,,2,1,NMB
202501,854340,MY,ON,,21287,500,NMB
202501,854340,US,BC,CA,161425,40001,NMB
202501,854340,US,BC,US,11,1,NMB
202501,854340,US,ON,CA,5620,2735,NMB
202501,854340,US,ON,MI,19172,117,NMB
202501,854340,US,ON,NJ,23,1,NMB
202501,854340,US,ON,TN,85,1,NMB
202501,854340,US,ON,US,12,1,NMB
202501,854340,US,QC,US,66,3,NMB
202502,240412,CN,BC,,189860,8601,KGM
202502,240412,CN,ON,,11024689,185591,KGM
202502,240412,CN,QC,,186,1,KGM
202502,240412,DE,BC,,161,2,KGM
202502,240412,FR,BC,,81,1,KGM
202502,240412,GB,BC,,345,2,KGM
202502,240412,GB,ON,,82,2,KGM
202502,240412,GB,QC,,112,1,KGM
202502,240412,HK,BC,,20,1,KGM
202502,240412,HK,ON,,15,0,KGM
202502,240412,JP,QC,,56,1,KGM
202502,240412,TW,QC,,44,1,KGM
202502,240412,US,AB,FL,29,1,KGM
202502,240412,US,BC,CA,1198,19,KGM
202502,240412,US,BC,US,2736,27,KGM
202502,240412,US,ON,CA,11439,202,KGM
202502,240412,US,ON,DC,1337482,5373,KGM
202502,240412,US,ON,FL,3902,48,KGM
202502,240412,US,ON,US,421,5,KGM
202502,240412,US,QC,US,1496,15,KGM
202502,240419,CN,ON,,35834,383,KGM
202502,240419,CN,QC,,2919,90,KGM
202502,240419,GB,AB,,91,1,KGM
202502,240419,MY,ON,,28,2,KGM
202502,240419,US,BC,US,43,1,KGM
202502,240419,US,MB,CA,31,0,KGM
202502,240419,US,ON,CA,247,3,KGM
202502,240419,US,ON,MI,26,0,KGM
202502,854340,CN,AB,,15537,432,NMB
202502,854340,CN,BC,,155112,29925,NMB
202502,854340,CN,MB,,200416,2024,NMB
202502,854340,CN,ON,,1773135,292662,NMB
202502,854340,CN,QC,,9315,4674,NMB
202502,854340,DE,ON,,70,1,NMB
202502,854340,MY,ON,,33965,700,NMB
202502,854340,US,BC,AZ,18706,585,NMB
202502,854340,US,BC,CA,17,6,NMB
