YearMonth/AnnéeMois,HS8,Country/Pays,State/État,Value/Valeur,Quantity/Quantité,Unit of Measure/Unité de Mesure
202501,24041200,CO,,29830,1265,KGM
202501,24041200,MA,,13995,615,KGM
202501,24041200,PE,,27791,1046,KGM
202501,24041200,UM,,4787,212,KGM
202501,24041900,AT,,8807,386,KGM
202501,24041900,DK,,11393,499,KGM
202501,24041900,ES,,23626,1035,KGM
202501,85434000,JP,,1370,0,N/A
202501,85434000,PE,,24574,0,N/A
202501,85434000,US,MI,3157,0,N/A
202502,24041200,CO,,32975,1397,KGM
202502,24041200,MA,,149000,6593,KGM
202502,24041200,PE,,12413,529,KGM
202502,24041200,US,NV,2957,14,KGM
202502,24041900,AT,,7723,344,KGM
202502,24041900,ES,,25435,1132,KGM
202502,24041900,FR,,112812,5023,KGM
202502,85434000,CO,,40998,0,N/A
202502,85434000,PE,,15588,0,N/A
202502,85434000,TC,,107,0,N/A
202503,24041200,CO,,26316,1112,KGM
202503,24041200,MA,,173225,7635,KGM
202503,24041200,PE,,4942,171,KGM
202503,24041900,DE,,27177,1198,KGM
202503,24041900,DK,,10145,447,KGM
202503,24041900,ES,,2412,268,KGM
202503,85434000,CO,,9310,0,N/A
202503,85434000,ES,,15012,0,N/A
202503,85434000,JP,,829,0,N/A
202503,85434000,PE,,20904,0,N/A
202503,85434000,US,MI,34983,0,N/A
202504,24041200,MA,,133000,5885,KGM
202504,24041900,AT,,5539,251,KGM
202504,24041900,FR,,145114,6565,KGM
202505,24041200,CL,,33507,1496,KGM
202505,24041200,CO,,24944,1080,KGM
202505,24041200,DO,,100689,4349,KGM
202505,24041200,MA,,109500,4845,KGM
202505,24041200,PE,,4859,159,KGM
202505,24041200,US,VA,3490,3,KGM
202505,85434000,CO,,2318,0,N/A
202505,85434000,MA,,18092,0,N/A
202505,85434000,PE,,13771,0,N/A
202506,24041200,PE,,4991,192,KGM
202506,24041900,AT,,7384,331,KGM
202506,24041900,FR,,104249,4702,KGM
202506,85434000,CO,,19656,0,N/A
202506,85434000,PE,,28476,0,N/A
202507,24041200,MA,,2671,119,KGM
202507,24041200,PE,,11753,517,KGM
202507,24041200,US,VA,40301,102,KGM
202507,85434000,CN,,304057,0,N/A
202507,85434000,CO,,28717,0,N/A
202507,85434000,GY,,4500,0,N/A
202507,85434000,MA,,8872,0,N/A
202508,24041200,PE,,1620,128,KGM
202508,24041200,PY,,4141,95,KGM
202508,24041900,FR,,70641,3097,KGM
202508,24041900,US,FL,4453,23,KGM
202508,85434000,AO,,6783,0,N/A
202508,85434000,DE,,12501,0,N/A
202508,85434000,GB,,7369,0,N/A
202508,85434000,PE,,22554,0,N/A
202508,85434000,PY,,7577,0,N/A
202508,85434000,US,NY,762810,0,N/A
202509,24041200,US,VA,22076,24,KGM
202509,24041900,FR,,133499,5894,KGM
202509,85434000,AU,,22409,0,N/A
202509,85434000,JP,,6772,0,N/A
202510,24041200,MA,,6879,281,KGM
202510,24041900,FR,,74128,3243,KGM
202510,85434000,MA,,7640,0,N/A
202510,85434000,PE,,35776,0,N/A
202511,24041200,US,MO,8463,1536,KGM
202511,24041900,FR,,72839,3209,KGM
202511,85434000,MA,,11709,0,N/A
202511,85434000,PE,,42857,0,N/A
202511,85434000,SA,,3014,0,N/A
202512,24041200,CO,,12000,531,KGM
202512,85434000,CH,,14616,0,N/A
202512,85434000,CO,,11229,0,N/A
202512,85434000,SA,,2960,0,N/A
