"Produkt mærke, Produkt navn";Produkttype;"Produkt Id";"Indberetter navn";Indberetningsdato
"Insano Nikotin Base - 50VG/50PG 20 MG/ML";"Refill container/cartridge containing e-liquid.";02828-19-20001;"Insano Aps";01-11-2023
"Geekvape - Wenax m2 pod kit 1200mah, 2ml, knight dark";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"Geekvape - Wenax m2 pod kit 1200mah, 2ml, twilight brown";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"NNB Nord Nikotin base - PG30/VG70 0mg";"Refill container/cartridge containing e-liquid.";03183-24-10002;"Danish Trade ApS";16-05-2025
"Vaporesso - Xr dtl l pod";Other;00219-25-36023;"Efuma Aps";07-01-2026
"Geekvape - Wenax m2 pod kit 1200mah, 2ml, iron silver";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"Geekvape - Wenax m2 pod kit 1200mah, 2ml, eclipse blue";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"Vaporesso - Xr mtl l pod";Other;00219-25-36021;"Efuma Aps";07-01-2026
"VooPoo - Vinci S";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";03183-25-00027;"Danish Trade ApS";26-11-2025
"Geekvape - Wenax m2 pod kit 1200mah, 2ml, no.5 pink";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"Insano Nikotin Base - 70VG/30PG 20 MG/ML";"Refill container/cartridge containing e-liquid.";02828-19-20000;"Insano Aps";01-11-2023
"Geekvape - Wenax m2 pod kit 1200mah, 2ml, solar flare";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"Vaporesso - Xr mtl pod";Other;00219-26-36017;"Efuma Aps";10-12-2025
"Geekvape - Wenax m2 pod kit 1200mah, 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-26-36090;"Efuma Aps";04-12-2025
"NNB Nord Nikotin base - PG50/VG50 0mg";"Refill container/cartridge containing e-liquid.";03183-24-10001;"Danish Trade ApS";16-05-2025
"Nicotine base - pg30/vg70";"Refill container/cartridge containing e-liquid.";00219-16-05014;"Efuma Aps";23-11-2016
"Ezee Starterset";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00310-23-00052;"Ezee Trading ApS";22-05-2023
"Skysmoke - Skysmoke Bronze 20mg";"Electronic cigarette – Disposable.";05300-20-00010;"SHENZHEN A&D INDUSTRIES CO., LIMITED";18-12-2025
"Nicotine Base Budget - PG30/VG70, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-17-09447;"Efuma Aps";14-03-2017
"Nicotine base - pg50/vg50, 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05041;"Efuma Aps";23-11-2016
"Nicotine base - pg0/vg100, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-17-09382;"Efuma Aps";10-03-2017
"Nicotine base - pg50/vg50";"Refill container/cartridge containing e-liquid.";00219-16-05041;"Efuma Aps";23-11-2016
"Nicotine Base - 1000ml nicotine base kit 3mg/ml - pg30/vg70";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-33620;"Efuma Aps";22-02-2024
"Nicotine base - pg30/vg70, 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05014;"Efuma Aps";23-11-2016
"NICOREX - Nicorex AIR Green 20mg/mL";"Electronic cigarette – Disposable.";01048-23-00011;"Nicorex Baltic OÜ";18-12-2025
"Nicotine Base - PG50/VG50, 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05041;"Efuma Aps";23-11-2016
"Ezee Starterset";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00310-23-00053;"Ezee Trading ApS";25-10-2023
"Nicotine Base - PG50/VG50, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05043;"Efuma Aps";22-11-2016
"Nicotine Base - PG30/VG70, 12mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05014;"Efuma Aps";23-11-2016
"NICOREX - Nicorex AIR Blue 20mg/mL";"Electronic cigarette – Disposable.";01048-23-00013;"Nicorex Baltic OÜ";18-12-2025
"Nicotine Base - PG0/VG100, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-17-09382;"Efuma Aps";10-03-2017
"Nicotine base - pg30/vg70";"Refill container/cartridge containing e-liquid.";00219-17-09447;"Efuma Aps";14-03-2017
"Nicotine base - 500ml nicotine base kit 6mg/ml - pg30/vg70";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-33620;"Efuma Aps";22-02-2024
"Skysmoke - Skysmoke Green 20mg";"Electronic cigarette – Disposable.";05300-20-00002;"SHENZHEN A&D INDUSTRIES CO., LIMITED";18-12-2025
"Nicotine base - pg50/vg50";"Refill container/cartridge containing e-liquid.";00219-16-05043;"Efuma Aps";22-11-2016
"Nicotine base - pg30/vg70, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-17-09447;"Efuma Aps";14-03-2017
"Nicotine Base Budget - PG50/VG50, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05043;"Efuma Aps";22-11-2016
"Ezee Next";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00310-23-00050;"Ezee Trading ApS";13-04-2023
"Innokin - GOZEE NEX Device";Other;00128-26-00002;"SHENZHEN INNOKIN TECHNOLOGY CO., LTD";16-01-2026
"Nicotine Base - PG30/VG70, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-17-09447;"Efuma Aps";14-03-2017
"Nicotine base - pg50/vg50, 18mg/ml";"Refill container/cartridge containing e-liquid.";00219-16-05043;"Efuma Aps";22-11-2016
"Nicotine base - pg0/vg100";"Refill container/cartridge containing e-liquid.";00219-17-09382;"Efuma Aps";10-03-2017
"Ezee Starterset";"Electronic cigarette – Rechargeable, device only Any rechargeable which can also be used as a refillable should be reported under the refillable category.";00310-23-00051;"Ezee Trading ApS";22-05-2023
"Skysmoke - Skysmoke Blue 20mg";"Electronic cigarette – Disposable.";05300-21-10008;"SHENZHEN A&D INDUSTRIES CO., LIMITED";18-12-2025
"Nicotine Base Salt - PG50/VG50, 20mg/ml";"Refill container/cartridge containing e-liquid.";00219-23-30391;"Efuma Aps";03-10-2023
"SMOK - Ipx 80 pod kit 3000mah, 2ml, brown";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"SMOK - 2ml TFV-Mini V2 Tank";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"SMOK - Majesty luxe edition tc box mod 225w, black cobra prism rainbow";Other;00219-18-14094;"Efuma Aps";16-01-2018
"SMOK - Majesty luxe edition tc box mod 225w, black cobra prism chrome";Other;00219-18-14094;"Efuma Aps";16-01-2018
"30W iStick Full Kit with OLED Screen MOD Battery";Other;00219-17-00921;"Efuma Aps";01-11-2017
"SMOK - Ipx 80 pod kit 3000mah, 2ml, red";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"SMOK - Morph 2 mod, white red";Other;00219-20-27266;"Efuma Aps";08-12-2020
"40W iStick TC Express Kit - 2600mAh";Other;00219-17-01688;"Efuma Aps";17-05-2017
"Eleaf - Istick full kit with oled screen mod battery 30w";Other;00219-17-00921;"Efuma Aps";01-11-2017
"Eleaf - Istick 40w tc express kit 2600mah, blue";Other;00219-17-01688;"Efuma Aps";17-05-2017
"SMOK - Mini v2 s1 coil, 0.15ohm (3 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-18423;"Efuma Aps";10-12-2018
"SMOK - Tfv-mini v2 tank, 2ml , 7-color";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"SMOK - Tfv-mini v2 tank, 2ml , prism blue";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"Eleaf - Istick 40w tc express kit 2600mah, black";Other;00219-17-01688;"Efuma Aps";17-05-2017
"SMOK - Morph 2 mod, prism rainbow";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Morph 2 mod";Other;00219-20-27266;"Efuma Aps";08-12-2020
"Nicotine base - 1000ml nicotine base kit 3mg/ml - pg50/vg50";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-33622;"Efuma Aps";22-02-2024
"SMOK - Rigel mod 230w, silver";Other;00219-20-26258;"Efuma Aps";10-09-2020
"SMOK - Mini v2 s1 coil, 0,15ohm (3 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-18423;"Efuma Aps";10-12-2018
"SMOK - Morph 2 mod, black carbon fiber";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Morph 2 mod, white blue";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Morph 2 mod, blue";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Tfv-mini v2 tank, 2ml , red";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"SMOK - Morph 2 mod, red";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Tfv-mini v2 tank, 2ml , stainless steel";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"SMOK - Majesty luxe edition tc box mod 225w, black cobra prism blue";Other;00219-18-14094;"Efuma Aps";16-01-2018
"SMOK - Morph 2 mod, brown";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Tfv-mini v2 tank, 2ml";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"SMOK - Majesty luxe edition tc box mod 225w";Other;00219-18-14094;"Efuma Aps";16-01-2018
"SMOK - Tfv-mini v2 tank, 2ml , matte black";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"Eleaf - Istick full kit with oled screen mod battery 30w, black";Other;00219-17-00921;"Efuma Aps";01-11-2017
"Eleaf - Istick full kit with oled screen mod battery 30w, blue";Other;00219-17-00921;"Efuma Aps";01-11-2017
"SMOK - 3pcs Mini V2 S1 - 0.15ohm";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-18423;"Efuma Aps";10-12-2018
"SMOK - Rigel mod 230w";Other;00219-20-26258;"Efuma Aps";10-09-2020
"SMOK - Morph 2 Mod";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - Majesty 225W TC Box MOD Luxe Edition";Other;00219-18-14094;"Efuma Aps";16-01-2018
"Nicotine base - 500ml nicotine base kit 6mg/ml - pg50/vg50";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-24-33622;"Efuma Aps";22-02-2024
"SMOK - Morph 2 mod, black";Other;00219-20-27266;"Efuma Aps";08-12-2020
"SMOK - 3000mAh IPX 80 VW 2ml Pod Kit - Childproof Version";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"SMOK - Ipx 80 pod kit 3000mah, 2ml, fluid 7-color";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"SMOK - Majesty luxe edition tc box mod 225w, black cobra  prism gold";Other;00219-18-14094;"Efuma Aps";16-01-2018
"Eleaf - Istick 40w tc express kit 2600mah";Other;00219-17-01688;"Efuma Aps";17-05-2017
"SMOK - Rigel 230W Mod";Other;00219-20-26258;"Efuma Aps";10-09-2020
"SMOK - Tfv-mini v2 tank, 2ml , gold";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17158;"Efuma Aps";31-08-2018
"SMOK - Ipx 80 pod kit 3000mah, 2ml, grey";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"SMOK - Ipx 80 pod kit 3000mah, 2ml, fluid black grey";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"Eleaf - Istick 40w tc express kit 2600mah, silver";Other;00219-17-01688;"Efuma Aps";17-05-2017
"Vandy Vape - Mutant rda, rainbow";Other;00219-22-22094;"Efuma Aps";12-08-2022
"SMOK - Mini v2 a1 coil, 0.17ohm (3 stk)";"Individual part of electronic cigarette capable of containing e-liquid.";00219-18-17204;"Efuma Aps";31-08-2018
"SMOK - Ipx 80 pod kit 3000mah, 2ml";"Kit – Pack containing more than one different e-cigarette device and/or more than one different refill container/cartridge.";00219-21-27583;"Efuma Aps";28-01-2021
"SMOK - TFV-mini v2 drip tip";Other;00219-22-24634;"Efuma Aps";18-05-2022
"WOTOFO - The troll v2 rda, black";Other;00219-22-03649;"Efuma Aps";30-05-2022
"WOTOFO - WOTOFO The Troll V2 RDA - Black";Other;00219-22-03649;"Efuma Aps";30-05-2022
