Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2025,'160100900',103,  ,KG,0,1600,888,0,0,0,0,0,0,0,0,0,0,0,0,0,800,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,444,0,0,0
2,2025,'160100900',105,  ,KG,0,6091396,4242403,0,576218,404644,0,296094,225868,0,515627,367759,0,557403,363823,0,528176,368440,0,476840,316079,0,546658,377274,0,469649,325504,0,405325,291120,0,543815,371897,0,501426,343803,0,674165,486192
2,2025,'160100900',106,  ,KG,0,56728,83741,0,9068,12852,0,6040,11096,0,0,0,0,6472,8740,0,6624,8943,0,6080,8210,0,0,0,0,10492,17760,0,6048,8167,0,0,0,0,0,0,0,5904,7973
2,2025,'160100900',111,  ,KG,0,5897961,4572239,0,356954,277976,0,487786,377912,0,569719,441404,0,514381,410212,0,366145,291959,0,452210,347810,0,526116,407290,0,468190,364482,0,463246,362900,0,656801,496008,0,500181,387699,0,536232,406587
2,2025,'160100900',113,  ,KG,0,3480,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480,1494
2,2025,'160100900',117,  ,KG,0,39331,29465,0,9900,7971,0,0,0,0,0,0,0,0,0,0,10088,7353,0,0,0,0,7210,5269,0,0,0,0,331,234,0,9815,7267,0,1104,747,0,883,624
2,2025,'160100900',204,  ,KG,0,623548,532507,0,112344,88463,0,125828,101876,0,53518,42560,0,64564,56175,0,14448,12106,0,62766,67099,0,36178,28572,0,38771,37657,0,33386,29037,0,20915,20546,0,16830,13402,0,44000,35014
2,2025,'160100900',205,  ,KG,0,2700,3375,0,0,0,0,0,0,0,0,0,0,396,777,0,0,0,0,0,0,0,0,0,0,0,0,0,640,703,0,0,0,0,0,0,0,1664,1895
2,2025,'160100900',210,  ,KG,0,173393,390810,0,1445,3225,0,18236,41075,0,24469,50902,0,3804,8211,0,18006,38610,0,14208,35679,0,21583,49875,0,9139,22404,0,11789,32439,0,33247,69220,0,12907,29626,0,4560,9544
2,2025,'160100900',213,  ,KG,0,9651,13034,0,0,0,0,0,0,0,0,0,0,2682,4233,0,4809,5052,0,0,0,0,0,0,0,0,0,0,2160,3749,0,0,0,0,0,0,0,0,0
2,2025,'160100900',217,  ,KG,0,2728,2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,472,0,0,0,0,1152,1352,0,0,0,0,576,530,0,0,0,0,424,549
2,2025,'160100900',218,  ,KG,0,385306,818605,0,13154,31485,0,30832,61658,0,24850,55958,0,39181,97575,0,32594,61712,0,25874,53634,0,23160,50887,0,48826,90477,0,38395,77559,0,59792,120980,0,21566,53014,0,27082,63666
2,2025,'160100900',220,  ,KG,0,192453,225608,0,24878,31721,0,5857,7197,0,9777,11218,0,20040,23116,0,8758,8357,0,24001,27556,0,4164,5815,0,21696,26138,0,11356,13155,0,19194,21748,0,13366,15364,0,29366,34223
2,2025,'160100900',222,  ,KG,0,412617,383634,0,45637,44773,0,22563,19565,0,46323,39539,0,45511,41320,0,45936,38209,0,22832,22306,0,23013,21742,0,45891,42356,0,45651,43880,0,22932,21788,0,46328,48156,0,0,0
2,2025,'160100900',224,  ,KG,0,757,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,308,0,0,0,0,0,0,0,0,0,0,300,513,0,0,0
2,2025,'160100900',225,  ,KG,0,77212,128600,0,9483,13694,0,258,793,0,16419,26581,0,13682,20300,0,0,0,0,2697,4059,0,0,0,0,4271,12163,0,0,0,0,11610,21850,0,15738,22917,0,3054,6243
2,2025,'160100900',234,  ,KG,0,46249,9598,0,0,0,0,0,0,0,22945,4776,0,23304,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'160100900',242,  ,KG,0,3598,6232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,2235,0,0,0,0,0,0,0,2302,3997,0,0,0
2,2025,'160100900',302,  ,KG,0,148394,196673,0,20024,26100,0,18302,20721,0,0,0,0,13776,12744,0,17334,19303,0,16380,14689,0,2777,5102,0,31438,37095,0,3510,11771,0,12600,11514,0,3771,12495,0,8482,25139
2,2025,'160100900',304,  ,KG,0,6589693,6151688,0,388749,369899,0,380789,324542,0,646707,575779,0,644398,593346,0,521181,488725,0,481543,399210,0,561116,523343,0,593637,540276,0,530075,539883,0,668754,630731,0,486497,474968,0,686247,690986
