period,scope,products,flow,rank,partner,partner_label,partner_basis,value_eur,share_of_country_partner_rows_pct,method_note,source_url
2025,narrow_patent_scope_proxy,85434000+24041200,import,1,CN,China,extra-EU country of origin,37144948.0,74.24883,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,2,PL,Poland,intra-EU country of consignment,3614941.0,7.225886,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,3,BE,Belgium (incl. Luxembourg 'LU' -> 1998),intra-EU country of consignment,3413476.0,6.823178,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,2240822.0,4.479167,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,5,NL,Netherlands,intra-EU country of consignment,1959810.0,3.917453,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,6,HR,Croatia,intra-EU country of consignment,989563.0,1.978032,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,7,HK,Hong Kong,extra-EU country of origin,312223.0,0.624101,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,8,GB,United Kingdom,extra-EU country of origin,194312.0,0.388409,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,9,KR,"Korea, Republic of (South Korea)",extra-EU country of origin,79804.0,0.15952,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,import,10,IT,Italy (incl. San Marino 'SM' -> 1993),intra-EU country of consignment,25402.0,0.050776,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,1,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),country of destination,269981.0,19.052999,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,2,FI,Finland,country of destination,264187.0,18.644107,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,3,DK,Denmark,country of destination,218218.0,15.4,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,4,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",country of destination,214062.0,15.106704,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,5,CN,China,country of destination,159664.0,11.267749,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,6,GB,United Kingdom,country of destination,152383.0,10.753917,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,7,NO,Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),country of destination,35329.0,2.493225,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,8,IT,Italy (incl. San Marino 'SM' -> 1993),country of destination,33456.0,2.361044,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,9,DE,Germany (incl. German Democratic Republic 'DD' from 1991),country of destination,32056.0,2.262244,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,narrow_patent_scope_proxy,85434000+24041200,export,10,GR,Greece,country of destination,20697.0,1.460621,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,1,CN,China,extra-EU country of origin,37700268.0,73.852155,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,2,PL,Poland,intra-EU country of consignment,3614941.0,7.081413,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,3,BE,Belgium (incl. Luxembourg 'LU' -> 1998),intra-EU country of consignment,3413476.0,6.686758,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,4,DE,Germany (incl. German Democratic Republic 'DD' from 1991),intra-EU country of consignment,2240822.0,4.389612,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,5,NL,Netherlands,intra-EU country of consignment,1959810.0,3.839129,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,6,HR,Croatia,intra-EU country of consignment,989563.0,1.938484,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,7,GB,United Kingdom,extra-EU country of origin,600394.0,1.176129,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,8,HK,Hong Kong,extra-EU country of origin,312223.0,0.611623,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,9,KR,"Korea, Republic of (South Korea)",extra-EU country of origin,85713.0,0.167906,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,import,10,MY,Malaysia,extra-EU country of origin,37678.0,0.073809,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,1,US,United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),country of destination,271290.0,18.268601,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
2025,broad_inhalation_proxy,85434000+24041200+24041910+24041990,export,2,FI,Finland,country of destination,264187.0,17.790287,"intra-EU import partner is consignment country, not necessarily origin; export partner is destination",https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/DS-045409?freq=A&reporter=SE&product=85434000&product=24041200&product=24041910&product=24041990&flow=1&flow=2&indicators=VALUE_IN_EUROS&time=2025&lang=en
