downloaded_at_utc,period,flow,hts10_code,product_description,scope,family,country_code,country_of_origin,quantity_unit_1,quantity_unit_2,con_quantity_1,con_quantity_2,con_customs_value_usd,con_dutiable_value_usd,con_calculated_duty_usd,con_import_charges_usd,con_cif_value_usd,gen_quantity_1,gen_quantity_2,gen_customs_value_usd,gen_import_charges_usd,gen_cif_value_usd,detail_record_count,source_url,layout_url
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,5600,INDONESIA,KG,,1072000,0,121743097,49779682,7655910,702026,122445123,1072014,0,121750557,702028,122452585,20,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,5700,CHINA,KG,,20526475,0,83707624,83707624,50265946,10113682,93821306,20526475,0,83707624,10113682,93821306,23,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,5820,HONG KONG,KG,,216,0,14497,14497,5290,4000,18497,216,0,14497,4000,18497,1,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,4351,CZECH REPUBLIC,KG,,129,0,6605,6605,1090,1408,8013,129,0,6605,1408,8013,1,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,6412,NEW CALEDONIA,KG,,0,0,0,0,0,0,0,16,0,3576,25,3601,1,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,4280,GERMANY,KG,,2,0,2362,2362,0,0,2362,2,0,2362,0,2362,1,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404120500,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, CONTAIN 5 PERCENT OR MORE BY WEIGHT OF ONE OR MORE AROMATIC OR MOD AROM SUBSTANCES",core_liquid,liquid_nicotine_aromatic,4419,SWITZERLAND,KG,,3,0,2247,2247,0,0,2247,3,0,2247,0,2247,1,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404121000,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, NON AROMATIC",core_liquid,liquid_nicotine_non_aromatic,5600,INDONESIA,KG,,1088988,0,106975430,105869426,15886170,1706443,108681873,1089013,0,106986450,1706447,108692897,23,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404121000,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, NON AROMATIC",core_liquid,liquid_nicotine_non_aromatic,5700,CHINA,KG,,101284,0,3434793,3428380,1804396,77253,3512046,101284,0,3434793,77253,3512046,9,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
2026-07-17T08:00:48+00:00,2025,General imports and imports for consumption,2404121000,"NICOTINE MIXTURES FOR PERSONAL ELEC/ELECTRONIC VAPORIZING DEVICES, NON AROMATIC",core_liquid,liquid_nicotine_non_aromatic,5570,MALAYSIA,KG,,15330,0,2300760,2300760,115040,105612,2406372,15330,0,2300760,105612,2406372,2,https://www.census.gov/trade/downloads/2025/Merch/im_m/IMDB2512.ZIP,https://www.census.gov/foreign-trade/reference/products/layouts/imdb.html
